"Country or Area","Year","Area","Sex","Age of mother","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Russian Federation","2009","Total","Female","Total","Data tabulated by year of occurrence","Final figure, complete","2010","856307","1"
"Russian Federation","2009","Total","Female","12","Data tabulated by year of occurrence","Final figure, complete","2010","3","1"
"Russian Federation","2009","Total","Female","13","Data tabulated by year of occurrence","Final figure, complete","2010","19","1"
"Russian Federation","2009","Total","Female","14","Data tabulated by year of occurrence","Final figure, complete","2010","160","1"
"Russian Federation","2009","Total","Female","15","Data tabulated by year of occurrence","Final figure, complete","2010","884","1"
"Russian Federation","2009","Total","Female","16","Data tabulated by year of occurrence","Final figure, complete","2010","3458","1"
"Russian Federation","2009","Total","Female","17","Data tabulated by year of occurrence","Final figure, complete","2010","9319","1"
"Russian Federation","2009","Total","Female","18","Data tabulated by year of occurrence","Final figure, complete","2010","19047","1"
"Russian Federation","2009","Total","Female","19","Data tabulated by year of occurrence","Final figure, complete","2010","31057","1"
"Russian Federation","2009","Total","Female","20","Data tabulated by year of occurrence","Final figure, complete","2010","41541","1"
"Russian Federation","2009","Total","Female","21","Data tabulated by year of occurrence","Final figure, complete","2010","50344","1"
"Russian Federation","2009","Total","Female","22","Data tabulated by year of occurrence","Final figure, complete","2010","56776","1"
"Russian Federation","2009","Total","Female","23","Data tabulated by year of occurrence","Final figure, complete","2010","58892","1"
"Russian Federation","2009","Total","Female","24","Data tabulated by year of occurrence","Final figure, complete","2010","60486","1"
"Russian Federation","2009","Total","Female","25","Data tabulated by year of occurrence","Final figure, complete","2010","62591","1"
"Russian Federation","2009","Total","Female","26","Data tabulated by year of occurrence","Final figure, complete","2010","60798","1"
"Russian Federation","2009","Total","Female","27","Data tabulated by year of occurrence","Final figure, complete","2010","54210","1"
"Russian Federation","2009","Total","Female","28","Data tabulated by year of occurrence","Final figure, complete","2010","49859","1"
"Russian Federation","2009","Total","Female","29","Data tabulated by year of occurrence","Final figure, complete","2010","46005","1"
"Russian Federation","2009","Total","Female","30","Data tabulated by year of occurrence","Final figure, complete","2010","42901","1"
"Russian Federation","2009","Total","Female","31","Data tabulated by year of occurrence","Final figure, complete","2010","37946","1"
"Russian Federation","2009","Total","Female","32","Data tabulated by year of occurrence","Final figure, complete","2010","33762","1"
"Russian Federation","2009","Total","Female","33","Data tabulated by year of occurrence","Final figure, complete","2010","29655","1"
"Russian Federation","2009","Total","Female","34","Data tabulated by year of occurrence","Final figure, complete","2010","24894","1"
"Russian Federation","2009","Total","Female","35","Data tabulated by year of occurrence","Final figure, complete","2010","20837","1"
"Russian Federation","2009","Total","Female","36","Data tabulated by year of occurrence","Final figure, complete","2010","16957","1"
"Russian Federation","2009","Total","Female","37","Data tabulated by year of occurrence","Final figure, complete","2010","13306","1"
"Russian Federation","2009","Total","Female","38","Data tabulated by year of occurrence","Final figure, complete","2010","9961","1"
"Russian Federation","2009","Total","Female","39","Data tabulated by year of occurrence","Final figure, complete","2010","7276","1"
"Russian Federation","2009","Total","Female","40","Data tabulated by year of occurrence","Final figure, complete","2010","4984","1"
"Russian Federation","2009","Total","Female","41","Data tabulated by year of occurrence","Final figure, complete","2010","3206","1"
"Russian Federation","2009","Total","Female","42","Data tabulated by year of occurrence","Final figure, complete","2010","2010","1"
"Russian Federation","2009","Total","Female","43","Data tabulated by year of occurrence","Final figure, complete","2010","1242","1"
"Russian Federation","2009","Total","Female","44","Data tabulated by year of occurrence","Final figure, complete","2010","685","1"
"Russian Federation","2009","Total","Female","45","Data tabulated by year of occurrence","Final figure, complete","2010","357","1"
"Russian Federation","2009","Total","Female","46","Data tabulated by year of occurrence","Final figure, complete","2010","184","1"
"Russian Federation","2009","Total","Female","47","Data tabulated by year of occurrence","Final figure, complete","2010","82","1"
"Russian Federation","2009","Total","Female","48","Data tabulated by year of occurrence","Final figure, complete","2010","45","1"
"Russian Federation","2009","Total","Female","49","Data tabulated by year of occurrence","Final figure, complete","2010","28","1"
"Russian Federation","2009","Total","Female","50 +","Data tabulated by year of occurrence","Final figure, complete","2010","41","1"
"Russian Federation","2009","Total","Female","Unknown","Data tabulated by year of occurrence","Final figure, complete","2010","499","1"
"Russian Federation","2008","Total","Male","Total","Data tabulated by year of occurrence","Final figure, complete","2009","880543","1"
"Russian Federation","2008","Total","Male","12","Data tabulated by year of occurrence","Final figure, complete","2009","5","1"
"Russian Federation","2008","Total","Male","13","Data tabulated by year of occurrence","Final figure, complete","2009","17","1"
"Russian Federation","2008","Total","Male","14","Data tabulated by year of occurrence","Final figure, complete","2009","195","1"
"Russian Federation","2008","Total","Male","15","Data tabulated by year of occurrence","Final figure, complete","2009","1046","1"
"Russian Federation","2008","Total","Male","16","Data tabulated by year of occurrence","Final figure, complete","2009","3996","1"
"Russian Federation","2008","Total","Male","17","Data tabulated by year of occurrence","Final figure, complete","2009","11171","1"
"Russian Federation","2008","Total","Male","18","Data tabulated by year of occurrence","Final figure, complete","2009","22272","1"
"Russian Federation","2008","Total","Male","19","Data tabulated by year of occurrence","Final figure, complete","2009","35997","1"
"Russian Federation","2008","Total","Male","20","Data tabulated by year of occurrence","Final figure, complete","2009","48763","1"
"Russian Federation","2008","Total","Male","21","Data tabulated by year of occurrence","Final figure, complete","2009","56657","1"
"Russian Federation","2008","Total","Male","22","Data tabulated by year of occurrence","Final figure, complete","2009","57893","1"
"Russian Federation","2008","Total","Male","23","Data tabulated by year of occurrence","Final figure, complete","2009","60914","1"
"Russian Federation","2008","Total","Male","24","Data tabulated by year of occurrence","Final figure, complete","2009","64577","1"
"Russian Federation","2008","Total","Male","25","Data tabulated by year of occurrence","Final figure, complete","2009","64429","1"
"Russian Federation","2008","Total","Male","26","Data tabulated by year of occurrence","Final figure, complete","2009","58091","1"
"Russian Federation","2008","Total","Male","27","Data tabulated by year of occurrence","Final figure, complete","2009","53863","1"
"Russian Federation","2008","Total","Male","28","Data tabulated by year of occurrence","Final figure, complete","2009","50397","1"
"Russian Federation","2008","Total","Male","29","Data tabulated by year of occurrence","Final figure, complete","2009","45999","1"
"Russian Federation","2008","Total","Male","30","Data tabulated by year of occurrence","Final figure, complete","2009","42472","1"
"Russian Federation","2008","Total","Male","31","Data tabulated by year of occurrence","Final figure, complete","2009","37869","1"
"Russian Federation","2008","Total","Male","32","Data tabulated by year of occurrence","Final figure, complete","2009","32952","1"
"Russian Federation","2008","Total","Male","33","Data tabulated by year of occurrence","Final figure, complete","2009","28152","1"
"Russian Federation","2008","Total","Male","34","Data tabulated by year of occurrence","Final figure, complete","2009","24192","1"
"Russian Federation","2008","Total","Male","35","Data tabulated by year of occurrence","Final figure, complete","2009","20226","1"
"Russian Federation","2008","Total","Male","36","Data tabulated by year of occurrence","Final figure, complete","2009","16594","1"
"Russian Federation","2008","Total","Male","37","Data tabulated by year of occurrence","Final figure, complete","2009","12666","1"
"Russian Federation","2008","Total","Male","38","Data tabulated by year of occurrence","Final figure, complete","2009","9455","1"
"Russian Federation","2008","Total","Male","39","Data tabulated by year of occurrence","Final figure, complete","2009","6754","1"
"Russian Federation","2008","Total","Male","40","Data tabulated by year of occurrence","Final figure, complete","2009","4704","1"
"Russian Federation","2008","Total","Male","41","Data tabulated by year of occurrence","Final figure, complete","2009","3261","1"
"Russian Federation","2008","Total","Male","42","Data tabulated by year of occurrence","Final figure, complete","2009","1939","1"
"Russian Federation","2008","Total","Male","43","Data tabulated by year of occurrence","Final figure, complete","2009","1139","1"
"Russian Federation","2008","Total","Male","44","Data tabulated by year of occurrence","Final figure, complete","2009","616","1"
"Russian Federation","2008","Total","Male","45","Data tabulated by year of occurrence","Final figure, complete","2009","339","1"
"Russian Federation","2008","Total","Male","46","Data tabulated by year of occurrence","Final figure, complete","2009","135","1"
"Russian Federation","2008","Total","Male","47","Data tabulated by year of occurrence","Final figure, complete","2009","64","1"
"Russian Federation","2008","Total","Male","48","Data tabulated by year of occurrence","Final figure, complete","2009","39","1"
"Russian Federation","2008","Total","Male","49","Data tabulated by year of occurrence","Final figure, complete","2009","22","1"
"Russian Federation","2008","Total","Male","50 +","Data tabulated by year of occurrence","Final figure, complete","2009","29","1"
"Russian Federation","2008","Total","Male","Unknown","Data tabulated by year of occurrence","Final figure, complete","2009","642","1"
"Russian Federation","2008","Total","Female","Total","Data tabulated by year of occurrence","Final figure, complete","2009","833404","1"
"Russian Federation","2008","Total","Female","12","Data tabulated by year of occurrence","Final figure, complete","2009","5","1"
"Russian Federation","2008","Total","Female","13","Data tabulated by year of occurrence","Final figure, complete","2009","18","1"
"Russian Federation","2008","Total","Female","14","Data tabulated by year of occurrence","Final figure, complete","2009","163","1"
"Russian Federation","2008","Total","Female","15","Data tabulated by year of occurrence","Final figure, complete","2009","972","1"
"Russian Federation","2008","Total","Female","16","Data tabulated by year of occurrence","Final figure, complete","2009","4015","1"
"Russian Federation","2008","Total","Female","17","Data tabulated by year of occurrence","Final figure, complete","2009","10420","1"
"Russian Federation","2008","Total","Female","18","Data tabulated by year of occurrence","Final figure, complete","2009","21040","1"
"Russian Federation","2008","Total","Female","19","Data tabulated by year of occurrence","Final figure, complete","2009","34127","1"
"Russian Federation","2008","Total","Female","20","Data tabulated by year of occurrence","Final figure, complete","2009","46083","1"
"Russian Federation","2008","Total","Female","21","Data tabulated by year of occurrence","Final figure, complete","2009","53538","1"
"Russian Federation","2008","Total","Female","22","Data tabulated by year of occurrence","Final figure, complete","2009","55151","1"
"Russian Federation","2008","Total","Female","23","Data tabulated by year of occurrence","Final figure, complete","2009","57434","1"
"Russian Federation","2008","Total","Female","24","Data tabulated by year of occurrence","Final figure, complete","2009","60623","1"
"Russian Federation","2008","Total","Female","25","Data tabulated by year of occurrence","Final figure, complete","2009","60097","1"
"Russian Federation","2008","Total","Female","26","Data tabulated by year of occurrence","Final figure, complete","2009","55016","1"
"Russian Federation","2008","Total","Female","27","Data tabulated by year of occurrence","Final figure, complete","2009","51112","1"
"Russian Federation","2008","Total","Female","28","Data tabulated by year of occurrence","Final figure, complete","2009","47454","1"
"Russian Federation","2008","Total","Female","29","Data tabulated by year of occurrence","Final figure, complete","2009","43702","1"
"Russian Federation","2008","Total","Female","30","Data tabulated by year of occurrence","Final figure, complete","2009","40191","1"
"Russian Federation","2008","Total","Female","31","Data tabulated by year of occurrence","Final figure, complete","2009","35899","1"
"Russian Federation","2008","Total","Female","32","Data tabulated by year of occurrence","Final figure, complete","2009","31186","1"
"Russian Federation","2008","Total","Female","33","Data tabulated by year of occurrence","Final figure, complete","2009","26968","1"
"Russian Federation","2008","Total","Female","34","Data tabulated by year of occurrence","Final figure, complete","2009","22908","1"
"Russian Federation","2008","Total","Female","35","Data tabulated by year of occurrence","Final figure, complete","2009","19204","1"
"Russian Federation","2008","Total","Female","36","Data tabulated by year of occurrence","Final figure, complete","2009","16020","1"
"Russian Federation","2008","Total","Female","37","Data tabulated by year of occurrence","Final figure, complete","2009","12183","1"
"Russian Federation","2008","Total","Female","38","Data tabulated by year of occurrence","Final figure, complete","2009","8987","1"
"Russian Federation","2008","Total","Female","39","Data tabulated by year of occurrence","Final figure, complete","2009","6556","1"
"Russian Federation","2008","Total","Female","40","Data tabulated by year of occurrence","Final figure, complete","2009","4468","1"
"Russian Federation","2008","Total","Female","41","Data tabulated by year of occurrence","Final figure, complete","2009","3024","1"
"Russian Federation","2008","Total","Female","42","Data tabulated by year of occurrence","Final figure, complete","2009","1877","1"
"Russian Federation","2008","Total","Female","43","Data tabulated by year of occurrence","Final figure, complete","2009","1095","1"
"Russian Federation","2008","Total","Female","44","Data tabulated by year of occurrence","Final figure, complete","2009","584","1"
"Russian Federation","2008","Total","Female","45","Data tabulated by year of occurrence","Final figure, complete","2009","342","1"
"Russian Federation","2008","Total","Female","46","Data tabulated by year of occurrence","Final figure, complete","2009","133","1"
"Russian Federation","2008","Total","Female","47","Data tabulated by year of occurrence","Final figure, complete","2009","82","1"
"Russian Federation","2008","Total","Female","48","Data tabulated by year of occurrence","Final figure, complete","2009","43","1"
"Russian Federation","2008","Total","Female","49","Data tabulated by year of occurrence","Final figure, complete","2009","25","1"
"Russian Federation","2008","Total","Female","50 +","Data tabulated by year of occurrence","Final figure, complete","2009","37","1"
"Russian Federation","2008","Total","Female","Unknown","Data tabulated by year of occurrence","Final figure, complete","2009","622","1"
"Russian Federation","2007","Total","Male","Total","Data tabulated by year of occurrence","Final figure, complete","2008","828772","1"
"Russian Federation","2007","Total","Male","12","Data tabulated by year of occurrence","Final figure, complete","2008","3","1"
"Russian Federation","2007","Total","Male","13","Data tabulated by year of occurrence","Final figure, complete","2008","16","1"
"Russian Federation","2007","Total","Male","14","Data tabulated by year of occurrence","Final figure, complete","2008","185","1"
"Russian Federation","2007","Total","Male","15","Data tabulated by year of occurrence","Final figure, complete","2008","1119","1"
"Russian Federation","2007","Total","Male","16","Data tabulated by year of occurrence","Final figure, complete","2008","4352","1"
"Russian Federation","2007","Total","Male","17","Data tabulated by year of occurrence","Final figure, complete","2008","11309","1"
"Russian Federation","2007","Total","Male","18","Data tabulated by year of occurrence","Final figure, complete","2008","23097","1"
"Russian Federation","2007","Total","Male","19","Data tabulated by year of occurrence","Final figure, complete","2008","37947","1"
"Russian Federation","2007","Total","Male","20","Data tabulated by year of occurrence","Final figure, complete","2008","49691","1"
"Russian Federation","2007","Total","Male","21","Data tabulated by year of occurrence","Final figure, complete","2008","53842","1"
"Russian Federation","2007","Total","Male","22","Data tabulated by year of occurrence","Final figure, complete","2008","56518","1"
"Russian Federation","2007","Total","Male","23","Data tabulated by year of occurrence","Final figure, complete","2008","60356","1"
"Russian Federation","2007","Total","Male","24","Data tabulated by year of occurrence","Final figure, complete","2008","61747","1"
"Russian Federation","2007","Total","Male","25","Data tabulated by year of occurrence","Final figure, complete","2008","58038","1"
"Russian Federation","2007","Total","Male","26","Data tabulated by year of occurrence","Final figure, complete","2008","54407","1"
"Russian Federation","2007","Total","Male","27","Data tabulated by year of occurrence","Final figure, complete","2008","50036","1"
"Russian Federation","2007","Total","Male","28","Data tabulated by year of occurrence","Final figure, complete","2008","46463","1"
"Russian Federation","2007","Total","Male","29","Data tabulated by year of occurrence","Final figure, complete","2008","42701","1"
"Russian Federation","2007","Total","Male","30","Data tabulated by year of occurrence","Final figure, complete","2008","38222","1"
"Russian Federation","2007","Total","Male","31","Data tabulated by year of occurrence","Final figure, complete","2008","34342","1"
"Russian Federation","2007","Total","Male","32","Data tabulated by year of occurrence","Final figure, complete","2008","29567","1"
"Russian Federation","2007","Total","Male","33","Data tabulated by year of occurrence","Final figure, complete","2008","24982","1"
"Russian Federation","2007","Total","Male","34","Data tabulated by year of occurrence","Final figure, complete","2008","21046","1"
"Russian Federation","2007","Total","Male","35","Data tabulated by year of occurrence","Final figure, complete","2008","18025","1"
"Russian Federation","2007","Total","Male","36","Data tabulated by year of occurrence","Final figure, complete","2008","14266","1"
"Russian Federation","2007","Total","Male","37","Data tabulated by year of occurrence","Final figure, complete","2008","10941","1"
"Russian Federation","2007","Total","Male","38","Data tabulated by year of occurrence","Final figure, complete","2008","7870","1"
"Russian Federation","2007","Total","Male","39","Data tabulated by year of occurrence","Final figure, complete","2008","5929","1"
"Russian Federation","2007","Total","Male","40","Data tabulated by year of occurrence","Final figure, complete","2008","4137","1"
"Russian Federation","2007","Total","Male","41","Data tabulated by year of occurrence","Final figure, complete","2008","2773","1"
"Russian Federation","2007","Total","Male","42","Data tabulated by year of occurrence","Final figure, complete","2008","1763","1"
"Russian Federation","2007","Total","Male","43","Data tabulated by year of occurrence","Final figure, complete","2008","1106","1"
"Russian Federation","2007","Total","Male","44","Data tabulated by year of occurrence","Final figure, complete","2008","576","1"
"Russian Federation","2007","Total","Male","45","Data tabulated by year of occurrence","Final figure, complete","2008","295","1"
"Russian Federation","2007","Total","Male","46","Data tabulated by year of occurrence","Final figure, complete","2008","153","1"
"Russian Federation","2007","Total","Male","47","Data tabulated by year of occurrence","Final figure, complete","2008","56","1"
"Russian Federation","2007","Total","Male","48","Data tabulated by year of occurrence","Final figure, complete","2008","38","1"
"Russian Federation","2007","Total","Male","49","Data tabulated by year of occurrence","Final figure, complete","2008","12","1"
"Russian Federation","2007","Total","Male","50 +","Data tabulated by year of occurrence","Final figure, complete","2008","21","1"
"Russian Federation","2007","Total","Male","Unknown","Data tabulated by year of occurrence","Final figure, complete","2008","825","1"
"Russian Federation","2007","Total","Female","Total","Data tabulated by year of occurrence","Final figure, complete","2008","781350","1"
"Russian Federation","2007","Total","Female","12","Data tabulated by year of occurrence","Final figure, complete","2008","2","1"
"Russian Federation","2007","Total","Female","13","Data tabulated by year of occurrence","Final figure, complete","2008","13","1"
"Russian Federation","2007","Total","Female","14","Data tabulated by year of occurrence","Final figure, complete","2008","158","1"
"Russian Federation","2007","Total","Female","15","Data tabulated by year of occurrence","Final figure, complete","2008","1045","1"
"Russian Federation","2007","Total","Female","16","Data tabulated by year of occurrence","Final figure, complete","2008","3949","1"
"Russian Federation","2007","Total","Female","17","Data tabulated by year of occurrence","Final figure, complete","2008","10489","1"
"Russian Federation","2007","Total","Female","18","Data tabulated by year of occurrence","Final figure, complete","2008","21962","1"
"Russian Federation","2007","Total","Female","19","Data tabulated by year of occurrence","Final figure, complete","2008","36191","1"
"Russian Federation","2007","Total","Female","20","Data tabulated by year of occurrence","Final figure, complete","2008","47193","1"
"Russian Federation","2007","Total","Female","21","Data tabulated by year of occurrence","Final figure, complete","2008","50540","1"
"Russian Federation","2007","Total","Female","22","Data tabulated by year of occurrence","Final figure, complete","2008","53829","1"
"Russian Federation","2007","Total","Female","23","Data tabulated by year of occurrence","Final figure, complete","2008","57117","1"
"Russian Federation","2007","Total","Female","24","Data tabulated by year of occurrence","Final figure, complete","2008","58429","1"
"Russian Federation","2007","Total","Female","25","Data tabulated by year of occurrence","Final figure, complete","2008","54194","1"
"Russian Federation","2007","Total","Female","26","Data tabulated by year of occurrence","Final figure, complete","2008","50905","1"
"Russian Federation","2007","Total","Female","27","Data tabulated by year of occurrence","Final figure, complete","2008","47183","1"
"Russian Federation","2007","Total","Female","28","Data tabulated by year of occurrence","Final figure, complete","2008","43739","1"
"Russian Federation","2007","Total","Female","29","Data tabulated by year of occurrence","Final figure, complete","2008","40138","1"
"Russian Federation","2007","Total","Female","30","Data tabulated by year of occurrence","Final figure, complete","2008","36380","1"
"Russian Federation","2007","Total","Female","31","Data tabulated by year of occurrence","Final figure, complete","2008","32337","1"
"Russian Federation","2007","Total","Female","32","Data tabulated by year of occurrence","Final figure, complete","2008","27607","1"
"Russian Federation","2007","Total","Female","33","Data tabulated by year of occurrence","Final figure, complete","2008","23511","1"
"Russian Federation","2007","Total","Female","34","Data tabulated by year of occurrence","Final figure, complete","2008","19611","1"
"Russian Federation","2007","Total","Female","35","Data tabulated by year of occurrence","Final figure, complete","2008","16869","1"
"Russian Federation","2007","Total","Female","36","Data tabulated by year of occurrence","Final figure, complete","2008","13456","1"
"Russian Federation","2007","Total","Female","37","Data tabulated by year of occurrence","Final figure, complete","2008","10316","1"
"Russian Federation","2007","Total","Female","38","Data tabulated by year of occurrence","Final figure, complete","2008","7554","1"
"Russian Federation","2007","Total","Female","39","Data tabulated by year of occurrence","Final figure, complete","2008","5554","1"
"Russian Federation","2007","Total","Female","40","Data tabulated by year of occurrence","Final figure, complete","2008","3895","1"
"Russian Federation","2007","Total","Female","41","Data tabulated by year of occurrence","Final figure, complete","2008","2671","1"
"Russian Federation","2007","Total","Female","42","Data tabulated by year of occurrence","Final figure, complete","2008","1574","1"
"Russian Federation","2007","Total","Female","43","Data tabulated by year of occurrence","Final figure, complete","2008","1013","1"
"Russian Federation","2007","Total","Female","44","Data tabulated by year of occurrence","Final figure, complete","2008","591","1"
"Russian Federation","2007","Total","Female","45","Data tabulated by year of occurrence","Final figure, complete","2008","259","1"
"Russian Federation","2007","Total","Female","46","Data tabulated by year of occurrence","Final figure, complete","2008","130","1"
"Russian Federation","2007","Total","Female","47","Data tabulated by year of occurrence","Final figure, complete","2008","64","1"
"Russian Federation","2007","Total","Female","48","Data tabulated by year of occurrence","Final figure, complete","2008","26","1"
"Russian Federation","2007","Total","Female","49","Data tabulated by year of occurrence","Final figure, complete","2008","16","1"
"Russian Federation","2007","Total","Female","50 +","Data tabulated by year of occurrence","Final figure, complete","2008","26","1"
"Russian Federation","2007","Total","Female","Unknown","Data tabulated by year of occurrence","Final figure, complete","2008","814","1"

"footnoteSeqID","Footnote"
"1","Excluding infants born alive of less than 28 weeks' gestation, of less than 1 000 grams in weight and 35 centimeters in length, who die within seven days of birth."
