Contents,,,,,,,
,,,,,,,
"Table 2a Live births by age of mother, 1938 to 2014",,,,,,,
England and Wales,,,,,,,
,,,,,,,
Year,Age of mother at birth,,,,,,
,,,,,,,
,All,Under,20 to 24,25 to 29,30 to 34,35 to 39,40 and
,ages,20,,,,,over
,Numbers,,,,,,
,,,,,,,
2014,"695,233","25,977","112,615","196,818","215,642","115,171","29,010"
2013,"698,512","29,136","119,719","196,693","212,306","111,500","29,158"
2012,"729,674","33,815","132,456","202,370","216,242","114,797","29,994"
2011,"723,913","36,435","134,946","200,587","207,151","115,444","29,350"
2010,"723,165","40,591","137,312","199,233","202,457","115,841","27,731"
2009,"706,248","43,243","136,012","194,129","191,600","114,288","26,976"
2008,"708,711","44,691","135,971","192,960","192,450","116,220","26,419"
2007,"690,013","44,805","130,784","182,570","191,124","115,380","25,350"
2006,"669,601","45,509","127,828","172,642","189,407","110,509","23,706"
2005,"645,835","44,830","122,145","164,348","188,153","104,113","22,246"
2004,"639,721","45,094","121,072","159,984","190,550","102,228","20,793"
2003,"621,469","44,236","116,622","156,931","187,214","97,386","19,080"
2002,"596,122","43,467","110,959","153,379","180,532","90,449","17,336"
2001,"594,634","44,189","108,844","159,926","178,920","86,495","16,260"
2000,"604,441","45,846","107,741","170,701","180,113","84,974","15,066"
1999,"621,872","48,375","110,722","181,931","185,311","81,281","14,252"
1998,"635,901","48,285","113,537","193,144","188,499","78,881","13,555"
1997,"643,095","46,372","118,589","202,792","187,528","74,900","12,914"
1996,"649,485","44,667","125,732","211,103","186,377","69,503","12,103"
1995,"648,138","41,938","130,744","217,418","181,202","65,517","11,319"
1994,"664,726","42,026","140,240","229,102","179,568","63,061","10,729"
1993,"673,467","45,121","151,975","235,961","171,061","58,824","10,525"
1992,"689,656","47,861","163,311","244,798","166,839","56,650","10,197"
1991,"699,217","52,396","173,356","248,727","161,259","53,644","9,835"
1990,"706,140","55,541","180,136","252,577","156,264","51,905","9,717"
1989,"687,725","55,543","185,239","242,822","145,320","49,465","9,336"
1988,"693,577","58,741","193,726","243,460","140,974","47,649","9,027"
1987,"681,511","57,545","193,232","238,929","136,558","46,604","8,643"
1986,"661,018","57,406","192,064","229,035","129,487","45,465","7,561"
1985,"656,417","56,929","193,958","227,486","126,185","44,393","7,466"
1984,"636,818","54,508","191,455","218,031","122,774","42,921","7,129"
1983,"629,134","54,059","191,852","214,078","120,996","41,277","6,872"
1982,"625,931","55,435","192,322","211,905","120,758","38,992","6,519"
1981 1,"634,492","56,570","194,500","215,760","126,590","34,210","6,860"
1980,"656,234","60,754","201,541","223,438","129,908","33,893","6,700"
1979,"638,028","59,143","193,209","222,102","125,664","31,394","6,516"
1978,"596,418","55,984","182,580","210,598","113,077","27,937","6,242"
1977,"569,259","54,477","174,544","207,916","100,807","25,527","5,988"
1976,"584,270","57,943","182,210","220,712","90,791","26,117","6,497"
1975,"603,445","63,507","190,198","225,990","88,379","28,147","7,224"
1974,"639,885","68,724","208,084","235,593","89,132","30,308","8,044"
1973,"675,953","73,270","223,675","243,753","91,800","34,178","9,277"
1972,"725,440","79,087","249,109","247,676","98,739","39,821","11,008"
1971,"783,155","82,641","285,703","247,239","109,616","45,224","12,732"
1970,"784,486","80,975","289,209","238,228","114,086","48,323","13,665"
1969,"797,538","81,659","289,012","238,381","120,395","52,843","15,248"
1968,"819,272","82,075","295,946","240,807","125,316","58,083","17,045"
1967,"832,164","84,542","291,656","243,802","130,279","63,085","18,800"
1966,"849,823","86,746","285,808","253,743","136,406","67,036","20,084"
1965,"862,725","81,611","278,874","263,395","144,638","72,022","22,185"
1964,"875,972","76,734","276,103","270,700","153,513","75,371","23,551"
1963,"854,055","71,640","267,559","263,241","153,696","74,401","23,518"
1962,"838,736","67,334","260,882","256,386","153,985","76,219","23,930"
1961,"811,281","59,786","249,829","248,540","152,286","77,516","23,324"
1960,"785,005","51,645","240,128","242,939","150,663","77,603","22,027"
1959,"748,501","46,067","229,064","233,579","143,475","77,261","19,055"
1958,"740,715","43,831","221,938","234,046","144,266","76,916","19,718"
1957,"723,381","41,228","211,654","230,565","143,736","75,147","21,051"
1956,"700,335","37,938","203,893","222,720","142,976","70,998","21,810"
1955,"667,811","32,947","192,555","212,187","141,542","66,410","22,170"
1954,"673,651","31,709","193,627","211,567","149,162","64,334","23,252"
1953,"684,372","30,417","194,765","216,697","150,639","68,468","23,386"
1952,"673,735","29,148","189,342","214,402","144,569","72,422","23,852"
1951,"677,529","29,111","187,514","219,064","140,231","77,167","24,442"
1950,"697,097","30,847","190,644","228,968","137,581","83,040","26,017"
1949,"730,518","31,850","200,945","245,253","137,128","87,631","27,711"
1948,"775,306","30,454","210,120","249,889","156,083","97,434","31,326"
1947,"881,026","27,747","227,598","281,454","195,181","114,350","34,696"
1946,"820,719","24,816","195,225","248,121","202,752","116,021","33,784"
1945,"679,937","25,437","174,869","182,212","163,501","101,089","32,829"
1944,"751,478","24,725","193,473","201,886","187,041","110,475","33,878"
1943,"684,334","24,262","176,262","195,762","163,937","93,421","30,690"
1942,"651,503","24,031","165,269","200,524","149,874","83,240","28,565"
1941,"579,091","24,499","147,563","180,475","127,268","73,028","26,258"
1940,"590,120","26,270","142,100","191,027","133,335","72,375","25,013"
1939,"614,479","28,788","139,504","199,877","143,510","77,179","25,621"
1938,"621,204","25,410","146,675","199,931","145,353","77,276","26,559"
,,,,,,,
1 Births by 5-year age group in 1981 are based on a 10% sample due to the late submission of some birth registrations.,,,,,,,
,,,,,,,
Source: Office for National Statistics,,,,,Released: ,"Wednesday, July 15, 2015",